"","SPECIES","SYS_NM","SPP","Area","CU_name","Year","escapement","Enhancement_Rank"
"20","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1982,NA,"NONE"
"21","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1972,NA,"NONE"
"22","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1969,NA,"NONE"
"23","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1976,NA,"NONE"
"24","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1991,NA,"NONE"
"25","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1951,NA,"NONE"
"26","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1959,NA,"NONE"
"27","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2003,NA,"NONE"
"28","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2004,NA,"NONE"
"29","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1998,NA,"NONE"
"30","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1974,NA,"NONE"
"31","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1968,NA,"NONE"
"32","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1966,NA,"NONE"
"33","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1978,NA,"NONE"
"34","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1957,NA,"NONE"
"35","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1960,NA,"NONE"
"36","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1986,NA,"NONE"
"37","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1987,NA,"NONE"
"38","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2002,NA,"NONE"
"39","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1962,NA,"NONE"
"40","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1955,NA,"NONE"
"41","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1954,NA,"NONE"
"42","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2011,NA,"NONE"
"43","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1977,NA,"NONE"
"44","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1970,NA,"NONE"
"45","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1967,NA,"NONE"
"46","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1961,NA,"NONE"
"47","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1956,NA,"NONE"
"48","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1958,NA,"NONE"
"49","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2018,NA,"NONE"
"50","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2006,NA,"NONE"
"51","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2005,NA,"NONE"
"52","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1997,NA,"NONE"
"53","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2007,NA,"NONE"
"54","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2008,NA,"NONE"
"55","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1964,NA,"NONE"
"56","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2013,NA,"NONE"
"57","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2009,NA,"NONE"
"58","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1985,NA,"NONE"
"59","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2017,NA,"NONE"
"60","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2015,NA,"NONE"
"61","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1953,NA,"NONE"
"62","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1975,NA,"NONE"
"63","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1950,NA,"NONE"
"64","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1963,NA,"NONE"
"65","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2000,NA,"NONE"
"66","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2014,NA,"NONE"
"67","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1983,NA,"NONE"
"68","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1984,NA,"NONE"
"69","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1981,NA,"NONE"
"70","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1973,NA,"NONE"
"71","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1974,25,"NONE"
"72","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2010,NA,"NONE"
"73","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2011,NA,"NONE"
"74","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2009,NA,"NONE"
"75","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1989,NA,"NONE"
"76","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1977,NA,"NONE"
"77","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2014,NA,"NONE"
"78","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1994,40,"NONE"
"79","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1982,NA,"NONE"
"80","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1976,25,"NONE"
"81","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2008,NA,"NONE"
"82","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2016,NA,"NONE"
"83","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1970,NA,"NONE"
"84","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1990,NA,"NONE"
"85","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2015,NA,"NONE"
"86","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1950,NA,"NONE"
"87","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1987,NA,"NONE"
"88","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1981,NA,"NONE"
"89","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2003,NA,"NONE"
"90","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1998,NA,"NONE"
"91","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1997,25,"NONE"
"92","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2007,NA,"NONE"
"93","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1999,NA,"NONE"
"94","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1971,NA,"NONE"
"95","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2006,NA,"NONE"
"96","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2018,NA,"NONE"
"97","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2012,NA,"NONE"
"98","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2001,NA,"NONE"
"99","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1975,75,"NONE"
"100","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1995,NA,"NONE"
"101","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1983,NA,"NONE"
"102","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1978,NA,"NONE"
"103","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1991,NA,"NONE"
"104","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1986,NA,"NONE"
"105","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1993,NA,"NONE"
"106","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2017,NA,"NONE"
"107","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1956,25,"NONE"
"108","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1988,NA,"NONE"
"109","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1958,25,"NONE"
"110","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1952,NA,"NONE"
"111","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2004,NA,"NONE"
"112","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1972,NA,"NONE"
"113","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1960,200,"NONE"
"114","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1996,30,"NONE"
"115","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1959,7,"NONE"
"116","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1954,400,"NONE"
"117","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2013,NA,"NONE"
"118","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1979,NA,"NONE"
"119","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1984,NA,"NONE"
"120","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1969,200,"NONE"
"121","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1957,25,"NONE"
"122","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1963,100,"NONE"
"123","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1992,NA,"NONE"
"124","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1953,75,"NONE"
"125","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1962,25,"NONE"
"126","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1955,NA,"NONE"
"127","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1985,NA,"NONE"
"128","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1965,25,"NONE"
"129","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1968,200,"NONE"
"130","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1967,NA,"NONE"
"131","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1951,NA,"NONE"
"132","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1961,25,"NONE"
"133","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1966,25,"NONE"
"134","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1980,NA,"NONE"
"135","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2005,NA,"NONE"
"136","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2000,NA,"NONE"
"137","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",1964,200,"NONE"
"138","Chum","APPLE CREEK","CM","25","Southwest Vancouver Island",2002,NA,"NONE"
"139","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1956,NA,"NONE"
"140","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1957,NA,"NONE"
"141","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1965,NA,"NONE"
"142","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1963,NA,"NONE"
"143","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1959,NA,"NONE"
"144","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1954,NA,"NONE"
"145","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1969,NA,"NONE"
"146","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1962,NA,"NONE"
"147","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2000,NA,"NONE"
"148","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1960,NA,"NONE"
"149","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1958,NA,"NONE"
"150","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2003,NA,"NONE"
"151","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2007,NA,"NONE"
"152","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1977,NA,"NONE"
"153","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1961,NA,"NONE"
"154","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2004,NA,"NONE"
"155","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1966,NA,"NONE"
"156","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1982,NA,"NONE"
"157","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1985,NA,"NONE"
"158","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1978,NA,"NONE"
"159","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1972,NA,"NONE"
"160","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1968,NA,"NONE"
"161","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1986,NA,"NONE"
"162","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1955,NA,"NONE"
"163","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1983,NA,"NONE"
"164","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1980,NA,"NONE"
"165","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2001,NA,"NONE"
"166","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2014,NA,"NONE"
"167","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1992,NA,"NONE"
"168","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1990,NA,"NONE"
"169","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1951,NA,"NONE"
"170","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1970,NA,"NONE"
"171","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1996,NA,"NONE"
"172","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2017,NA,"NONE"
"173","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2013,NA,"NONE"
"174","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1975,NA,"NONE"
"175","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2006,NA,"NONE"
"176","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2015,NA,"NONE"
"177","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2008,NA,"NONE"
"178","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1984,NA,"NONE"
"179","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2005,NA,"NONE"
"180","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1987,NA,"NONE"
"181","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1950,NA,"NONE"
"182","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1979,NA,"NONE"
"183","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2002,NA,"NONE"
"184","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1973,NA,"NONE"
"185","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1991,NA,"NONE"
"186","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1981,NA,"NONE"
"187","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2011,NA,"NONE"
"188","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1964,NA,"NONE"
"189","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1976,NA,"NONE"
"190","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1994,NA,"NONE"
"191","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2009,NA,"NONE"
"192","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1952,NA,"NONE"
"193","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1967,NA,"NONE"
"194","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1953,750,"NONE"
"195","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2016,NA,"NONE"
"196","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1999,NA,"NONE"
"197","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1997,NA,"NONE"
"198","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1989,NA,"NONE"
"199","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1988,NA,"NONE"
"200","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1993,NA,"NONE"
"201","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1998,NA,"NONE"
"202","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1971,NA,"NONE"
"203","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2018,NA,"NONE"
"204","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1995,NA,"NONE"
"205","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",1974,NA,"NONE"
"206","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2010,NA,"NONE"
"207","Chum","BANCROFT CREEK","CM","25","Southwest Vancouver Island",2012,NA,"NONE"
"208","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1993,NA,"NONE"
"209","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1991,NA,"NONE"
"210","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1990,NA,"NONE"
"211","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1989,NA,"NONE"
"212","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2015,NA,"NONE"
"213","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1954,NA,"NONE"
"214","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1995,NA,"NONE"
"215","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2017,NA,"NONE"
"216","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2010,NA,"NONE"
"217","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2016,NA,"NONE"
"218","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2008,NA,"NONE"
"219","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1976,NA,"NONE"
"220","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2018,NA,"NONE"
"221","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1996,60,"NONE"
"222","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1997,50,"NONE"
"223","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2013,NA,"NONE"
"224","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1978,600,"NONE"
"225","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2004,NA,"NONE"
"226","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1971,NA,"NONE"
"227","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1977,NA,"NONE"
"228","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2012,NA,"NONE"
"229","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1974,75,"NONE"
"230","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1999,NA,"NONE"
"231","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2000,NA,"NONE"
"232","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1987,NA,"NONE"
"233","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2014,NA,"NONE"
"234","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1962,NA,"NONE"
"235","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1983,100,"NONE"
"236","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1988,NA,"NONE"
"237","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1969,NA,"NONE"
"238","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2011,NA,"NONE"
"239","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1961,NA,"NONE"
"240","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1992,NA,"NONE"
"241","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2003,NA,"NONE"
"242","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1960,NA,"NONE"
"243","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1950,NA,"NONE"
"244","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2005,NA,"NONE"
"245","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1979,NA,"NONE"
"246","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1975,25,"NONE"
"247","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2009,NA,"NONE"
"248","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1998,636,"NONE"
"249","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1970,150,"NONE"
"250","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2002,NA,"NONE"
"251","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1956,NA,"NONE"
"252","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1966,NA,"NONE"
"253","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1982,NA,"NONE"
"254","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1980,NA,"NONE"
"255","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1968,25,"NONE"
"256","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1957,NA,"NONE"
"257","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2006,NA,"NONE"
"258","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2001,NA,"NONE"
"259","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",2007,NA,"NONE"
"260","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1953,NA,"NONE"
"261","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1994,NA,"NONE"
"262","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1972,200,"NONE"
"263","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1973,75,"NONE"
"264","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1984,NA,"NONE"
"265","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1965,NA,"NONE"
"266","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1951,NA,"NONE"
"267","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1955,NA,"NONE"
"268","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1967,400,"NONE"
"269","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1963,NA,"NONE"
"270","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1959,NA,"NONE"
"271","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1981,NA,"NONE"
"272","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1985,NA,"NONE"
"273","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1958,NA,"NONE"
"274","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1952,NA,"NONE"
"275","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1986,NA,"NONE"
"276","Chum","BARR CREEK","CM","25","Southwest Vancouver Island",1964,NA,"NONE"
"277","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1964,NA,"NONE"
"278","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1968,NA,"NONE"
"279","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1961,NA,"NONE"
"280","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1967,NA,"NONE"
"281","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1965,NA,"NONE"
"282","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1962,NA,"NONE"
"283","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1957,NA,"NONE"
"284","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1986,NA,"NONE"
"285","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",2017,NA,"NONE"
"286","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1963,NA,"NONE"
"287","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1970,NA,"NONE"
"288","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1951,NA,"NONE"
"289","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1998,NA,"NONE"
"290","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1996,NA,"NONE"
"291","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",2018,NA,"NONE"
"292","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1956,NA,"NONE"
"293","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1966,NA,"NONE"
"294","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1959,NA,"NONE"
"295","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1960,NA,"NONE"
"296","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1958,NA,"NONE"
"297","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1976,NA,"NONE"
"298","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1981,NA,"NONE"
"299","Chum","BEANO CREEK","CM","25","Southwest Vancouver Island",1955,NA,"NONE"
