"","SPP","SYS_NM","Area","escapement","Year","Enhancement_Rank"
"69","CM","CLEMENS CREEK","23",NA,2018,"NONE"
"70","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1950,"NONE"
"71","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1951,"NONE"
"72","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1952,"NONE"
"73","CM","SOMASS-SPROAT-GC SYSTEM","23",7500,1953,"NONE"
"74","CM","SOMASS-SPROAT-GC SYSTEM","23",7500,1954,"NONE"
"75","CM","SOMASS-SPROAT-GC SYSTEM","23",3500,1955,"NONE"
"76","CM","SOMASS-SPROAT-GC SYSTEM","23",1500,1956,"NONE"
"77","CM","SOMASS-SPROAT-GC SYSTEM","23",7500,1957,"NONE"
"78","CM","SOMASS-SPROAT-GC SYSTEM","23",7500,1958,"NONE"
"79","CM","SOMASS-SPROAT-GC SYSTEM","23",3500,1959,"NONE"
"80","CM","SOMASS-SPROAT-GC SYSTEM","23",1500,1960,"NONE"
"81","CM","SOMASS-SPROAT-GC SYSTEM","23",3500,1961,"NONE"
"82","CM","SOMASS-SPROAT-GC SYSTEM","23",3500,1962,"NONE"
"83","CM","SOMASS-SPROAT-GC SYSTEM","23",1500,1963,"NONE"
"84","CM","SOMASS-SPROAT-GC SYSTEM","23",750,1964,"NONE"
"85","CM","SOMASS-SPROAT-GC SYSTEM","23",1500,1965,"NONE"
"86","CM","SOMASS-SPROAT-GC SYSTEM","23",1500,1966,"NONE"
"87","CM","SOMASS-SPROAT-GC SYSTEM","23",1500,1967,"NONE"
"88","CM","SOMASS-SPROAT-GC SYSTEM","23",3500,1968,"NONE"
"89","CM","SOMASS-SPROAT-GC SYSTEM","23",2500,1969,"NONE"
"90","CM","SOMASS-SPROAT-GC SYSTEM","23",3000,1970,"NONE"
"91","CM","SOMASS-SPROAT-GC SYSTEM","23",1500,1971,"NONE"
"92","CM","SOMASS-SPROAT-GC SYSTEM","23",4000,1972,"NONE"
"93","CM","SOMASS-SPROAT-GC SYSTEM","23",7000,1973,"NONE"
"94","CM","SOMASS-SPROAT-GC SYSTEM","23",3500,1974,"NONE"
"95","CM","SOMASS-SPROAT-GC SYSTEM","23",750,1975,"NONE"
"96","CM","SOMASS-SPROAT-GC SYSTEM","23",4500,1976,"NONE"
"97","CM","SOMASS-SPROAT-GC SYSTEM","23",500,1977,"NONE"
"98","CM","SOMASS-SPROAT-GC SYSTEM","23",300,1978,"NONE"
"99","CM","SOMASS-SPROAT-GC SYSTEM","23",350,1979,"NONE"
"100","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1980,"NONE"
"101","CM","SOMASS-SPROAT-GC SYSTEM","23",1000,1981,"NONE"
"102","CM","SOMASS-SPROAT-GC SYSTEM","23",0,1982,"NONE"
"103","CM","SOMASS-SPROAT-GC SYSTEM","23",1,1983,"NONE"
"104","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1984,"NONE"
"105","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1985,"NONE"
"106","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1986,"NONE"
"107","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1987,"NONE"
"108","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1988,"NONE"
"109","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1989,"NONE"
"110","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1990,"NONE"
"111","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1991,"NONE"
"112","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1992,"NONE"
"113","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1993,"NONE"
"114","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1994,"NONE"
"115","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1995,"NONE"
"116","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1996,"NONE"
"117","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1997,"NONE"
"118","CM","SOMASS-SPROAT-GC SYSTEM","23",8392,1998,"NONE"
"119","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,1999,"NONE"
"120","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2000,"NONE"
"121","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2001,"NONE"
"122","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2002,"NONE"
"123","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2003,"NONE"
"124","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2004,"NONE"
"125","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2005,"NONE"
"126","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2006,"NONE"
"127","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2007,"NONE"
"128","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2008,"NONE"
"129","CM","SOMASS-SPROAT-GC SYSTEM","23",3035,2009,"NONE"
"130","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2010,"NONE"
"131","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2011,"NONE"
"132","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2012,"NONE"
"133","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2013,"NONE"
"134","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2014,"NONE"
"135","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2015,"NONE"
"136","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2016,"NONE"
"137","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2017,"NONE"
"138","CM","SOMASS-SPROAT-GC SYSTEM","23",NA,2018,"NONE"
"139","CM","KITSUCKSUS CREEK","23",NA,1950,"MOD"
"140","CM","KITSUCKSUS CREEK","23",NA,1951,"MOD"
"141","CM","KITSUCKSUS CREEK","23",NA,1952,"MOD"
"142","CM","KITSUCKSUS CREEK","23",NA,1953,"MOD"
"143","CM","KITSUCKSUS CREEK","23",NA,1954,"MOD"
"144","CM","KITSUCKSUS CREEK","23",NA,1955,"MOD"
"145","CM","KITSUCKSUS CREEK","23",NA,1956,"MOD"
"146","CM","KITSUCKSUS CREEK","23",NA,1957,"MOD"
"147","CM","KITSUCKSUS CREEK","23",NA,1958,"MOD"
"148","CM","KITSUCKSUS CREEK","23",NA,1959,"MOD"
"149","CM","KITSUCKSUS CREEK","23",NA,1960,"MOD"
"150","CM","KITSUCKSUS CREEK","23",NA,1961,"MOD"
"151","CM","KITSUCKSUS CREEK","23",NA,1962,"MOD"
"152","CM","KITSUCKSUS CREEK","23",NA,1963,"MOD"
"153","CM","KITSUCKSUS CREEK","23",NA,1964,"MOD"
"154","CM","KITSUCKSUS CREEK","23",NA,1965,"MOD"
"155","CM","KITSUCKSUS CREEK","23",NA,1966,"MOD"
"156","CM","KITSUCKSUS CREEK","23",NA,1967,"MOD"
"157","CM","KITSUCKSUS CREEK","23",NA,1968,"MOD"
"158","CM","KITSUCKSUS CREEK","23",NA,1969,"MOD"
"159","CM","KITSUCKSUS CREEK","23",NA,1970,"MOD"
"160","CM","KITSUCKSUS CREEK","23",NA,1971,"MOD"
"161","CM","KITSUCKSUS CREEK","23",NA,1972,"MOD"
"162","CM","KITSUCKSUS CREEK","23",NA,1973,"MOD"
"163","CM","KITSUCKSUS CREEK","23",NA,1974,"MOD"
"164","CM","KITSUCKSUS CREEK","23",NA,1975,"MOD"
"165","CM","KITSUCKSUS CREEK","23",NA,1976,"MOD"
"166","CM","KITSUCKSUS CREEK","23",NA,1977,"MOD"
"167","CM","KITSUCKSUS CREEK","23",NA,1978,"MOD"
"168","CM","KITSUCKSUS CREEK","23",NA,1979,"MOD"
"169","CM","KITSUCKSUS CREEK","23",NA,1980,"MOD"
"170","CM","KITSUCKSUS CREEK","23",NA,1981,"MOD"
"171","CM","KITSUCKSUS CREEK","23",NA,1982,"MOD"
"172","CM","KITSUCKSUS CREEK","23",NA,1983,"MOD"
"173","CM","KITSUCKSUS CREEK","23",NA,1984,"MOD"
"174","CM","KITSUCKSUS CREEK","23",NA,1985,"MOD"
"175","CM","KITSUCKSUS CREEK","23",NA,1986,"MOD"
"176","CM","KITSUCKSUS CREEK","23",NA,1987,"MOD"
"177","CM","KITSUCKSUS CREEK","23",NA,1988,"MOD"
"178","CM","KITSUCKSUS CREEK","23",NA,1989,"MOD"
"179","CM","KITSUCKSUS CREEK","23",NA,1990,"MOD"
"180","CM","KITSUCKSUS CREEK","23",NA,1991,"MOD"
"181","CM","KITSUCKSUS CREEK","23",NA,1992,"MOD"
"182","CM","KITSUCKSUS CREEK","23",NA,1993,"MOD"
"183","CM","KITSUCKSUS CREEK","23",NA,1994,"MOD"
"184","CM","KITSUCKSUS CREEK","23",NA,1995,"MOD"
"185","CM","KITSUCKSUS CREEK","23",NA,1996,"MOD"
"186","CM","KITSUCKSUS CREEK","23",NA,1997,"MOD"
"187","CM","KITSUCKSUS CREEK","23",NA,1998,"MOD"
"188","CM","KITSUCKSUS CREEK","23",NA,1999,"MOD"
"189","CM","KITSUCKSUS CREEK","23",NA,2000,"MOD"
"190","CM","KITSUCKSUS CREEK","23",NA,2001,"MOD"
"191","CM","KITSUCKSUS CREEK","23",NA,2002,"MOD"
"192","CM","KITSUCKSUS CREEK","23",NA,2003,"MOD"
"193","CM","KITSUCKSUS CREEK","23",NA,2004,"MOD"
"194","CM","KITSUCKSUS CREEK","23",NA,2005,"MOD"
"195","CM","KITSUCKSUS CREEK","23",NA,2006,"MOD"
"196","CM","KITSUCKSUS CREEK","23",NA,2007,"MOD"
"197","CM","KITSUCKSUS CREEK","23",NA,2008,"MOD"
"198","CM","KITSUCKSUS CREEK","23",NA,2009,"MOD"
"199","CM","KITSUCKSUS CREEK","23",NA,2010,"MOD"
"200","CM","KITSUCKSUS CREEK","23",0,2011,"MOD"
"201","CM","KITSUCKSUS CREEK","23",42,2012,"MOD"
"202","CM","KITSUCKSUS CREEK","23",NA,2013,"MOD"
"203","CM","KITSUCKSUS CREEK","23",NA,2014,"MOD"
"204","CM","KITSUCKSUS CREEK","23",NA,2015,"MOD"
"205","CM","KITSUCKSUS CREEK","23",NA,2016,"MOD"
"206","CM","KITSUCKSUS CREEK","23",NA,2017,"MOD"
"207","CM","KITSUCKSUS CREEK","23",NA,2018,"MOD"
"208","CM","LITTLE TOQUART CREEK","23",NA,1950,"NONE"
"209","CM","LITTLE TOQUART CREEK","23",NA,1951,"NONE"
"210","CM","LITTLE TOQUART CREEK","23",NA,1952,"NONE"
"211","CM","LITTLE TOQUART CREEK","23",7500,1953,"NONE"
"212","CM","LITTLE TOQUART CREEK","23",15000,1954,"NONE"
"213","CM","LITTLE TOQUART CREEK","23",400,1955,"NONE"
"214","CM","LITTLE TOQUART CREEK","23",1500,1956,"NONE"
"215","CM","LITTLE TOQUART CREEK","23",15000,1957,"NONE"
"216","CM","LITTLE TOQUART CREEK","23",15000,1958,"NONE"
"217","CM","LITTLE TOQUART CREEK","23",3500,1959,"NONE"
"218","CM","LITTLE TOQUART CREEK","23",3500,1960,"NONE"
"219","CM","LITTLE TOQUART CREEK","23",3500,1961,"NONE"
"220","CM","LITTLE TOQUART CREEK","23",3500,1962,"NONE"
"221","CM","LITTLE TOQUART CREEK","23",750,1963,"NONE"
"222","CM","LITTLE TOQUART CREEK","23",750,1964,"NONE"
"223","CM","LITTLE TOQUART CREEK","23",750,1965,"NONE"
"224","CM","LITTLE TOQUART CREEK","23",7500,1966,"NONE"
"225","CM","LITTLE TOQUART CREEK","23",750,1967,"NONE"
"226","CM","LITTLE TOQUART CREEK","23",3500,1968,"NONE"
"227","CM","LITTLE TOQUART CREEK","23",3500,1969,"NONE"
"228","CM","LITTLE TOQUART CREEK","23",3500,1970,"NONE"
"229","CM","LITTLE TOQUART CREEK","23",400,1971,"NONE"
"230","CM","LITTLE TOQUART CREEK","23",7500,1972,"NONE"
"231","CM","LITTLE TOQUART CREEK","23",5000,1973,"NONE"
"232","CM","LITTLE TOQUART CREEK","23",750,1974,"NONE"
"233","CM","LITTLE TOQUART CREEK","23",4500,1975,"NONE"
"234","CM","LITTLE TOQUART CREEK","23",6200,1976,"NONE"
"235","CM","LITTLE TOQUART CREEK","23",6500,1977,"NONE"
"236","CM","LITTLE TOQUART CREEK","23",350,1978,"NONE"
"237","CM","LITTLE TOQUART CREEK","23",300,1979,"NONE"
"238","CM","LITTLE TOQUART CREEK","23",100,1980,"NONE"
"239","CM","LITTLE TOQUART CREEK","23",NA,1981,"NONE"
"240","CM","LITTLE TOQUART CREEK","23",1500,1982,"NONE"
"241","CM","LITTLE TOQUART CREEK","23",NA,1983,"NONE"
"242","CM","LITTLE TOQUART CREEK","23",1000,1984,"NONE"
"243","CM","LITTLE TOQUART CREEK","23",NA,1985,"NONE"
"244","CM","LITTLE TOQUART CREEK","23",NA,1986,"NONE"
"245","CM","LITTLE TOQUART CREEK","23",NA,1987,"NONE"
"246","CM","LITTLE TOQUART CREEK","23",NA,1988,"NONE"
"247","CM","LITTLE TOQUART CREEK","23",NA,1989,"NONE"
"248","CM","LITTLE TOQUART CREEK","23",1200,1990,"NONE"
"249","CM","LITTLE TOQUART CREEK","23",1600,1991,"NONE"
"250","CM","LITTLE TOQUART CREEK","23",3500,1992,"NONE"
"251","CM","LITTLE TOQUART CREEK","23",6500,1993,"NONE"
"252","CM","LITTLE TOQUART CREEK","23",5500,1994,"NONE"
"253","CM","LITTLE TOQUART CREEK","23",550,1995,"NONE"
"254","CM","LITTLE TOQUART CREEK","23",835,1996,"NONE"
"255","CM","LITTLE TOQUART CREEK","23",6700,1997,"NONE"
"256","CM","LITTLE TOQUART CREEK","23",14000,1998,"NONE"
"257","CM","LITTLE TOQUART CREEK","23",1400,1999,"NONE"
"258","CM","LITTLE TOQUART CREEK","23",1000,2000,"NONE"
"259","CM","LITTLE TOQUART CREEK","23",2000,2001,"NONE"
"260","CM","LITTLE TOQUART CREEK","23",NA,2002,"NONE"
"261","CM","LITTLE TOQUART CREEK","23",NA,2003,"NONE"
"262","CM","LITTLE TOQUART CREEK","23",6400,2004,"NONE"
"263","CM","LITTLE TOQUART CREEK","23",12300,2005,"NONE"
"264","CM","LITTLE TOQUART CREEK","23",2730,2006,"NONE"
"265","CM","LITTLE TOQUART CREEK","23",3250,2007,"NONE"
"266","CM","LITTLE TOQUART CREEK","23",NA,2008,"NONE"
"267","CM","LITTLE TOQUART CREEK","23",NA,2009,"NONE"
"268","CM","LITTLE TOQUART CREEK","23",NA,2010,"NONE"
"269","CM","LITTLE TOQUART CREEK","23",NA,2011,"NONE"
"270","CM","LITTLE TOQUART CREEK","23",NA,2012,"NONE"
"271","CM","LITTLE TOQUART CREEK","23",1337,2013,"NONE"
"272","CM","LITTLE TOQUART CREEK","23",2007,2014,"NONE"
"273","CM","LITTLE TOQUART CREEK","23",NA,2015,"NONE"
"274","CM","LITTLE TOQUART CREEK","23",NA,2016,"NONE"
"275","CM","LITTLE TOQUART CREEK","23",NA,2017,"NONE"
"276","CM","LITTLE TOQUART CREEK","23",NA,2018,"NONE"
"277","CM","MAGGIE RIVER","23",NA,1950,"NONE"
"278","CM","MAGGIE RIVER","23",NA,1951,"NONE"
"279","CM","MAGGIE RIVER","23",NA,1952,"NONE"
"280","CM","MAGGIE RIVER","23",1500,1953,"NONE"
"281","CM","MAGGIE RIVER","23",400,1954,"NONE"
"282","CM","MAGGIE RIVER","23",200,1955,"NONE"
"283","CM","MAGGIE RIVER","23",200,1956,"NONE"
"284","CM","MAGGIE RIVER","23",750,1957,"NONE"
"285","CM","MAGGIE RIVER","23",1500,1958,"NONE"
"286","CM","MAGGIE RIVER","23",750,1959,"NONE"
"287","CM","MAGGIE RIVER","23",750,1960,"NONE"
"288","CM","MAGGIE RIVER","23",750,1961,"NONE"
"289","CM","MAGGIE RIVER","23",400,1962,"NONE"
"290","CM","MAGGIE RIVER","23",200,1963,"NONE"
"291","CM","MAGGIE RIVER","23",200,1964,"NONE"
"292","CM","MAGGIE RIVER","23",400,1965,"NONE"
"293","CM","MAGGIE RIVER","23",400,1966,"NONE"
"294","CM","MAGGIE RIVER","23",1500,1967,"NONE"
"295","CM","MAGGIE RIVER","23",750,1968,"NONE"
"296","CM","MAGGIE RIVER","23",200,1969,"NONE"
"297","CM","MAGGIE RIVER","23",750,1970,"NONE"
"298","CM","MAGGIE RIVER","23",75,1971,"NONE"
"299","CM","MAGGIE RIVER","23",1500,1972,"NONE"
"300","CM","MAGGIE RIVER","23",200,1973,"NONE"
"301","CM","MAGGIE RIVER","23",750,1974,"NONE"
"302","CM","MAGGIE RIVER","23",200,1975,"NONE"
"303","CM","MAGGIE RIVER","23",2000,1976,"NONE"
"304","CM","MAGGIE RIVER","23",290,1977,"NONE"
"305","CM","MAGGIE RIVER","23",400,1978,"NONE"
"306","CM","MAGGIE RIVER","23",350,1979,"NONE"
"307","CM","MAGGIE RIVER","23",NA,1980,"NONE"
"308","CM","MAGGIE RIVER","23",NA,1981,"NONE"
"309","CM","MAGGIE RIVER","23",0,1982,"NONE"
"310","CM","MAGGIE RIVER","23",NA,1983,"NONE"
"311","CM","MAGGIE RIVER","23",NA,1984,"NONE"
"312","CM","MAGGIE RIVER","23",1500,1985,"NONE"
"313","CM","MAGGIE RIVER","23",4000,1986,"NONE"
"314","CM","MAGGIE RIVER","23",NA,1987,"NONE"
"315","CM","MAGGIE RIVER","23",1800,1988,"NONE"
"316","CM","MAGGIE RIVER","23",0,1989,"NONE"
"317","CM","MAGGIE RIVER","23",500,1990,"NONE"
"318","CM","MAGGIE RIVER","23",200,1991,"NONE"
"319","CM","MAGGIE RIVER","23",NA,1992,"NONE"
"320","CM","MAGGIE RIVER","23",30,1993,"NONE"
"321","CM","MAGGIE RIVER","23",NA,1994,"NONE"
"322","CM","MAGGIE RIVER","23",0,1995,"NONE"
"323","CM","MAGGIE RIVER","23",10,1996,"NONE"
"324","CM","MAGGIE RIVER","23",110,1997,"NONE"
"325","CM","MAGGIE RIVER","23",85,1998,"NONE"
"326","CM","MAGGIE RIVER","23",6,1999,"NONE"
"327","CM","MAGGIE RIVER","23",0,2000,"NONE"
"328","CM","MAGGIE RIVER","23",0,2001,"NONE"
"329","CM","MAGGIE RIVER","23",35,2002,"NONE"
"330","CM","MAGGIE RIVER","23",NA,2003,"NONE"
"331","CM","MAGGIE RIVER","23",NA,2004,"NONE"
"332","CM","MAGGIE RIVER","23",NA,2005,"NONE"
"333","CM","MAGGIE RIVER","23",NA,2006,"NONE"
"334","CM","MAGGIE RIVER","23",80,2007,"NONE"
"335","CM","MAGGIE RIVER","23",NA,2008,"NONE"
"336","CM","MAGGIE RIVER","23",NA,2009,"NONE"
"337","CM","MAGGIE RIVER","23",NA,2010,"NONE"
"338","CM","MAGGIE RIVER","23",NA,2011,"NONE"
"339","CM","MAGGIE RIVER","23",NA,2012,"NONE"
"340","CM","MAGGIE RIVER","23",0,2013,"NONE"
"341","CM","MAGGIE RIVER","23",0,2014,"NONE"
"342","CM","MAGGIE RIVER","23",0,2015,"NONE"
"343","CM","MAGGIE RIVER","23",NA,2016,"NONE"
"344","CM","MAGGIE RIVER","23",NA,2017,"NONE"
"345","CM","MAGGIE RIVER","23",NA,2018,"NONE"
"346","CM","LITTLE MAGGIE RIVER","23",NA,1950,"NONE"
"347","CM","LITTLE MAGGIE RIVER","23",NA,1951,"NONE"
"348","CM","LITTLE MAGGIE RIVER","23",NA,1952,"NONE"
"349","CM","LITTLE MAGGIE RIVER","23",NA,1953,"NONE"
"350","CM","LITTLE MAGGIE RIVER","23",750,1954,"NONE"
"351","CM","LITTLE MAGGIE RIVER","23",75,1955,"NONE"
"352","CM","LITTLE MAGGIE RIVER","23",25,1956,"NONE"
"353","CM","LITTLE MAGGIE RIVER","23",400,1957,"NONE"
"354","CM","LITTLE MAGGIE RIVER","23",400,1958,"NONE"
"355","CM","LITTLE MAGGIE RIVER","23",750,1959,"NONE"
"356","CM","LITTLE MAGGIE RIVER","23",200,1960,"NONE"
"357","CM","LITTLE MAGGIE RIVER","23",400,1961,"NONE"
"358","CM","LITTLE MAGGIE RIVER","23",75,1962,"NONE"
"359","CM","LITTLE MAGGIE RIVER","23",75,1963,"NONE"
"360","CM","LITTLE MAGGIE RIVER","23",75,1964,"NONE"
"361","CM","LITTLE MAGGIE RIVER","23",200,1965,"NONE"
"362","CM","LITTLE MAGGIE RIVER","23",750,1966,"NONE"
"363","CM","LITTLE MAGGIE RIVER","23",200,1967,"NONE"
"364","CM","LITTLE MAGGIE RIVER","23",200,1968,"NONE"
"365","CM","LITTLE MAGGIE RIVER","23",400,1969,"NONE"
"366","CM","LITTLE MAGGIE RIVER","23",75,1970,"NONE"
"367","CM","LITTLE MAGGIE RIVER","23",25,1971,"NONE"
"368","CM","LITTLE MAGGIE RIVER","23",75,1972,"NONE"
"369","CM","LITTLE MAGGIE RIVER","23",400,1973,"NONE"
"370","CM","LITTLE MAGGIE RIVER","23",150,1974,"NONE"
"371","CM","LITTLE MAGGIE RIVER","23",75,1975,"NONE"
"372","CM","LITTLE MAGGIE RIVER","23",800,1976,"NONE"
"373","CM","LITTLE MAGGIE RIVER","23",180,1977,"NONE"
"374","CM","LITTLE MAGGIE RIVER","23",50,1978,"NONE"
"375","CM","LITTLE MAGGIE RIVER","23",80,1979,"NONE"
"376","CM","LITTLE MAGGIE RIVER","23",NA,1980,"NONE"
"377","CM","LITTLE MAGGIE RIVER","23",NA,1981,"NONE"
"378","CM","LITTLE MAGGIE RIVER","23",NA,1982,"NONE"
"379","CM","LITTLE MAGGIE RIVER","23",NA,1983,"NONE"
"380","CM","LITTLE MAGGIE RIVER","23",NA,1984,"NONE"
"381","CM","LITTLE MAGGIE RIVER","23",NA,1985,"NONE"
"382","CM","LITTLE MAGGIE RIVER","23",60,1986,"NONE"
"383","CM","LITTLE MAGGIE RIVER","23",NA,1987,"NONE"
"384","CM","LITTLE MAGGIE RIVER","23",NA,1988,"NONE"
"385","CM","LITTLE MAGGIE RIVER","23",NA,1989,"NONE"
"386","CM","LITTLE MAGGIE RIVER","23",9,1990,"NONE"
"387","CM","LITTLE MAGGIE RIVER","23",0,1991,"NONE"
"388","CM","LITTLE MAGGIE RIVER","23",NA,1992,"NONE"
"389","CM","LITTLE MAGGIE RIVER","23",150,1993,"NONE"
"390","CM","LITTLE MAGGIE RIVER","23",NA,1994,"NONE"
"391","CM","LITTLE MAGGIE RIVER","23",NA,1995,"NONE"
"392","CM","LITTLE MAGGIE RIVER","23",4,1996,"NONE"
"393","CM","LITTLE MAGGIE RIVER","23",4,1997,"NONE"
"394","CM","LITTLE MAGGIE RIVER","23",48,1998,"NONE"
"395","CM","LITTLE MAGGIE RIVER","23",0,1999,"NONE"
"396","CM","LITTLE MAGGIE RIVER","23",20,2000,"NONE"
"397","CM","LITTLE MAGGIE RIVER","23",NA,2001,"NONE"
"398","CM","LITTLE MAGGIE RIVER","23",NA,2002,"NONE"
"399","CM","LITTLE MAGGIE RIVER","23",NA,2003,"NONE"
"400","CM","LITTLE MAGGIE RIVER","23",NA,2004,"NONE"
"401","CM","LITTLE MAGGIE RIVER","23",NA,2005,"NONE"
"402","CM","LITTLE MAGGIE RIVER","23",NA,2006,"NONE"
"403","CM","LITTLE MAGGIE RIVER","23",NA,2007,"NONE"
"404","CM","LITTLE MAGGIE RIVER","23",NA,2008,"NONE"
"405","CM","LITTLE MAGGIE RIVER","23",NA,2009,"NONE"
