"","V1","SPECIES","SYS_NM","SPP","Area","CU_name","Year","escapement","Enhancement_Rank","esc.log","z","m.ave","esc.stand","prepost"
"125",125,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2005,8289,"NONE",9.02268461359153,0.703600397601562,9.11820552513805,1.083349823181,"Post"
"126",126,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2006,5050,"NONE",8.52714352226941,0.201334136506003,8.71700715504527,1.02385041954962,"Post"
"127",127,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2007,717,"NONE",6.57507584059962,-1.77722577113327,8.26021832195854,0.789466500755795,"Post"
"128",128,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2008,3362,"NONE",8.12029131396856,-0.211039612231015,8.06129882260728,0.974999851586777,"Post"
"129",129,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2009,2300,"NONE",7.74066440191724,-0.595818580244635,7.74079376968871,0.929418213121212,"Post"
"130",130,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2010,3835,"NONE",8.25192471380136,-0.0776197672835101,7.67198906757169,0.990805016738927,"Post"
"131",131,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2011,1532,"NONE",7.33432935030054,-1.00766815377461,7.86180244499692,0.880629739936847,"Post"
"132",132,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2012,5008,"NONE",8.51879191277993,0.192869184263162,7.96142759469977,1.02284764542515,"Post"
"133",133,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2013,6172,"NONE",8.72777821348305,0.404691714649677,8.20820604759122,1.04794053979197,"Post"
"134",134,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2014,8652,"NONE",9.06554578707295,0.747043255777553,8.41161131590912,1.08849614566716,"Post"
"135",135,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2015,4839,"NONE",8.48446336679332,0.158074752997046,8.69914482003231,1.01872583181675,"Post"
"136",136,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2016,13467,"NONE",9.50799752745004,1.19549967088838,8.94644622369984,1.14162113398622,"Post"
"137",137,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2017,550,"NONE",6.30991827822652,-2.04598188396948,8.34198123988571,0.757629147394325,"Post"
"138",138,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2018,695,"NONE",6.54391184556479,-1.80881270416677,7.71157275450867,0.785724653405868,"Post"
"139",139,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1950,NA,"HIGH",NA,NA,NA,NA,"Pre"
"140",140,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1951,NA,"HIGH",NA,NA,NA,NA,"Pre"
"141",141,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1952,NA,"HIGH",NA,NA,NA,NA,"Pre"
"142",142,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1953,3500,"HIGH",8.1605182474775,0.320320032689733,NA,1.05339057460349,"Pre"
"143",143,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1954,4500,"HIGH",8.41183267575841,0.514949509780543,NA,1.08583119197418,"Pre"
"144",144,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1955,400,"HIGH",5.99146454710798,-1.35949513101801,NA,0.773400915308954,"Pre"
"145",145,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1956,200,"HIGH",5.29831736654804,-1.89630025686044,6.96553320922298,0.6839268543888,"Pre"
"146",146,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1957,200,"HIGH",5.29831736654804,-1.89630025686044,6.24998298899062,0.6839268543888,"Pre"
"147",147,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1958,1500,"HIGH",7.3132203870903,-0.335866484874618,5.97532991682359,0.944018160628499,"Pre"
"148",148,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1959,750,"HIGH",6.62007320653036,-0.872671610717054,6.13248208167918,0.854544099708345,"Pre"
"149",149,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1960,15000,"HIGH",9.61580548008435,1.44736154414091,7.21185411006326,1.24124455736282,"Pre"
"150",150,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1961,750,"HIGH",6.62007320653036,-0.872671610717054,7.54229307005884,0.854544099708345,"Pre"
"151",151,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1962,750,"HIGH",6.62007320653036,-0.872671610717054,7.36900627491885,0.854544099708345,"Pre"
"152",152,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1963,600,"HIGH",6.39692965521615,-1.04548426220528,7.3132203870903,0.825739885734484,"Pre"
"153",153,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1964,1500,"HIGH",7.3132203870903,-0.335866484874618,6.73757411384179,0.944018160628499,"Pre"
"154",154,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1965,750,"HIGH",6.62007320653036,-0.872671610717054,6.73757411384179,0.854544099708345,"Pre"
"155",155,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1966,550,"HIGH",6.30991827822652,-1.11286988315942,6.66003538176583,0.814508127943552,"Pre"
"156",156,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1967,900,"HIGH",6.80239476332431,-0.731473393392554,6.76140165879287,0.878078856160014,"Pre"
"157",157,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1968,3500,"HIGH",8.1605182474775,0.320320032689733,6.97322612388967,1.05339057460349,"Pre"
"158",158,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1969,3500,"HIGH",8.1605182474775,0.320320032689733,7.35833738412646,1.05339057460349,"Pre"
"159",159,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1970,700,"HIGH",6.5510803350434,-0.926102870483364,7.41862789833068,0.845638238789322,"Pre"
"160",160,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1971,500,"HIGH",6.21460809842219,-1.18668247952978,7.27168123210515,0.802205129282815,"Pre"
"161",161,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1972,3500,"HIGH",8.1605182474775,0.320320032689733,7.27168123210515,1.05339057460349,"Pre"
"162",162,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1973,750,"HIGH",6.62007320653036,-0.872671610717054,6.88656997186836,0.854544099708345,"Pre"
"163",163,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1974,3500,"HIGH",8.1605182474775,0.320320032689733,7.28892944997689,1.05339057460349,"Pre"
"164",164,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1975,1500,"HIGH",7.3132203870903,-0.335866484874618,7.56358252214392,0.944018160628499,"Pre"
"165",165,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1976,400,"HIGH",5.99146454710798,-1.35949513101801,7.02131909705154,0.773400915308954,"Pre"
"166",166,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1977,500,"HIGH",6.21460809842219,-1.18668247952978,6.91995282002449,0.802205129282815,"Pre"
"167",167,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",1978,800,"HIGH",6.68461172766793,-0.82269000517557,6.5509761900721,0.862874976229108,"Pre"
