"","Year","SPECIES","SYS_NM","SPP","Area","CU_name","escapement","Enhancement_Rank","esc.log","z","m.ave","esc.stand","prepost","Total.ER","p3","p4","p5","TR","age3","age4","age5","r3","r4","r5","recruits","rps","logrps"
"19",1950,"Chum","RANSOM RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"20",1950,"Chum","SUCWOA RIVER","CM",25,"Southwest Vancouver Island",NA,"HIGH",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"21",1950,"Chum","TAHSIS RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"22",1950,"Chum","TLUPANA RIVER","CM",25,"Southwest Vancouver Island",NA,"HIGH",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"23",1950,"Chum","TSOWWIN RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"24",1950,"Chum","ZEBALLOS RIVER","CM",25,"Southwest Vancouver Island",NA,"HIGH",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"25",1951,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"26",1951,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"27",1951,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",NA,"HIGH",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"28",1951,"Chum","CHUM CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"29",1951,"Chum","CONUMA RIVER","CM",25,"Southwest Vancouver Island",NA,"HIGH",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"30",1951,"Chum","DESERTED CREEK","CM",25,"Southwest Vancouver Island",NA,"LOW",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"31",1951,"Chum","ESPINOSA CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"32",1951,"Chum","HAMMOND CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"33",1951,"Chum","HOISS CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"34",1951,"Chum","KLEEPTEE CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"35",1951,"Chum","LEINER RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"36",1951,"Chum","LITTLE ZEBALLOS RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"37",1951,"Chum","LORD CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"38",1951,"Chum","MAMAT CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"39",1951,"Chum","MARVINAS BAY CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"40",1951,"Chum","MOOYAH RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"41",1951,"Chum","OWOSSITSA CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"42",1951,"Chum","PARK RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"43",1951,"Chum","RANSOM RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"44",1951,"Chum","SUCWOA RIVER","CM",25,"Southwest Vancouver Island",NA,"HIGH",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"45",1951,"Chum","TAHSIS RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"46",1951,"Chum","TLUPANA RIVER","CM",25,"Southwest Vancouver Island",NA,"HIGH",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"47",1951,"Chum","TSOWWIN RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"48",1951,"Chum","ZEBALLOS RIVER","CM",25,"Southwest Vancouver Island",NA,"HIGH",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"49",1952,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"50",1952,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"51",1952,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",NA,"HIGH",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"52",1952,"Chum","CHUM CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"53",1952,"Chum","CONUMA RIVER","CM",25,"Southwest Vancouver Island",NA,"HIGH",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"54",1952,"Chum","DESERTED CREEK","CM",25,"Southwest Vancouver Island",NA,"LOW",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"55",1952,"Chum","ESPINOSA CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"56",1952,"Chum","HAMMOND CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"57",1952,"Chum","HOISS CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"58",1952,"Chum","KLEEPTEE CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"59",1952,"Chum","LEINER RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"60",1952,"Chum","LITTLE ZEBALLOS RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"61",1952,"Chum","LORD CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"62",1952,"Chum","MAMAT CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"63",1952,"Chum","MARVINAS BAY CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"64",1952,"Chum","MOOYAH RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"65",1952,"Chum","OWOSSITSA CREEK","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"66",1952,"Chum","PARK RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"67",1952,"Chum","RANSOM RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"68",1952,"Chum","SUCWOA RIVER","CM",25,"Southwest Vancouver Island",NA,"HIGH",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"69",1952,"Chum","TAHSIS RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"70",1952,"Chum","TLUPANA RIVER","CM",25,"Southwest Vancouver Island",NA,"HIGH",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"71",1952,"Chum","TSOWWIN RIVER","CM",25,"Southwest Vancouver Island",NA,"NONE",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"72",1952,"Chum","ZEBALLOS RIVER","CM",25,"Southwest Vancouver Island",NA,"HIGH",NA,NA,NA,NA,"Pre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"73",1953,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",3500,"NONE",8.1605182474775,1.33918333258975,NA,1.33566399248271,"Pre",0.516212132,NA,NA,NA,7234.57579552202,NA,NA,NA,NA,NA,NA,0,NA,NA
"74",1953,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",7500,"NONE",8.9226582995244,0.602216589765116,NA,1.0713397070904,"Pre",0.516212132,NA,NA,NA,15502.6624189757,NA,NA,NA,NA,NA,NA,0,NA,NA
"75",1953,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",3500,"HIGH",8.1605182474775,0.320320032689733,NA,1.05339057460349,"Pre",0.516212132,NA,NA,NA,7234.57579552202,NA,NA,NA,NA,NA,NA,0,NA,NA
"76",1953,"Chum","CHUM CREEK","CM",25,"Southwest Vancouver Island",7500,"NONE",8.9226582995244,1.23295134591177,NA,1.20176568705855,"Pre",0.516212132,NA,NA,NA,15502.6624189757,NA,NA,NA,NA,NA,NA,0,NA,NA
"77",1953,"Chum","CONUMA RIVER","CM",25,"Southwest Vancouver Island",3500,"HIGH",8.1605182474775,-1.06774225173736,NA,0.877576818909101,"Pre",0.516212132,NA,NA,NA,7234.57579552202,NA,NA,NA,NA,NA,NA,0,NA,NA
"78",1953,"Chum","DESERTED CREEK","CM",25,"Southwest Vancouver Island",7500,"LOW",8.9226582995244,0.38659014239861,NA,1.0520675758502,"Pre",0.516212132,NA,NA,NA,15502.6624189757,NA,NA,NA,NA,NA,NA,0,NA,NA
"79",1953,"Chum","ESPINOSA CREEK","CM",25,"Southwest Vancouver Island",7500,"NONE",8.9226582995244,1.191269109943,NA,1.17906516625593,"Pre",0.516212132,NA,NA,NA,15502.6624189757,NA,NA,NA,NA,NA,NA,0,NA,NA
"80",1953,"Chum","HAMMOND CREEK","CM",25,"Southwest Vancouver Island",3500,"NONE",8.1605182474775,1.33775060669899,NA,1.31986073364145,"Pre",0.516212132,NA,NA,NA,7234.57579552202,NA,NA,NA,NA,NA,NA,0,NA,NA
"81",1953,"Chum","HOISS CREEK","CM",25,"Southwest Vancouver Island",3500,"NONE",8.1605182474775,1.45914718547986,NA,1.25473475696343,"Pre",0.516212132,NA,NA,NA,7234.57579552202,NA,NA,NA,NA,NA,NA,0,NA,NA
"82",1953,"Chum","KLEEPTEE CREEK","CM",25,"Southwest Vancouver Island",1500,"NONE",7.3132203870903,-0.00650586691171911,NA,0.999060447609336,"Pre",0.516212132,NA,NA,NA,3100.53248379515,NA,NA,NA,NA,NA,NA,0,NA,NA
"83",1953,"Chum","LEINER RIVER","CM",25,"Southwest Vancouver Island",1500,"NONE",7.3132203870903,-1.17188157510332,NA,0.879785717496981,"Pre",0.516212132,NA,NA,NA,3100.53248379515,NA,NA,NA,NA,NA,NA,0,NA,NA
"84",1953,"Chum","LITTLE ZEBALLOS RIVER","CM",25,"Southwest Vancouver Island",3500,"NONE",8.1605182474775,0.759008431345534,NA,1.14115346537832,"Pre",0.516212132,NA,NA,NA,7234.57579552202,NA,NA,NA,NA,NA,NA,0,NA,NA
"85",1953,"Chum","LORD CREEK","CM",25,"Southwest Vancouver Island",1500,"NONE",7.3132203870903,1.09892947231246,NA,1.26049958577706,"Pre",0.516212132,NA,NA,NA,3100.53248379515,NA,NA,NA,NA,NA,NA,0,NA,NA
"86",1953,"Chum","MAMAT CREEK","CM",25,"Southwest Vancouver Island",3500,"NONE",8.1605182474775,1.31685408040969,NA,1.28527608714705,"Pre",0.516212132,NA,NA,NA,7234.57579552202,NA,NA,NA,NA,NA,NA,0,NA,NA
"87",1953,"Chum","MARVINAS BAY CREEK","CM",25,"Southwest Vancouver Island",3500,"NONE",8.1605182474775,1.65600408292284,NA,1.45902434594501,"Pre",0.516212132,NA,NA,NA,7234.57579552202,NA,NA,NA,NA,NA,NA,0,NA,NA
"88",1953,"Chum","MOOYAH RIVER","CM",25,"Southwest Vancouver Island",7500,"NONE",8.9226582995244,1.50735792745165,NA,1.38253948585305,"Pre",0.516212132,NA,NA,NA,15502.6624189757,NA,NA,NA,NA,NA,NA,0,NA,NA
"89",1953,"Chum","OWOSSITSA CREEK","CM",25,"Southwest Vancouver Island",7500,"NONE",8.9226582995244,1.48499334692666,NA,1.32876249020084,"Pre",0.516212132,NA,NA,NA,15502.6624189757,NA,NA,NA,NA,NA,NA,0,NA,NA
"90",1953,"Chum","PARK RIVER","CM",25,"Southwest Vancouver Island",1500,"NONE",7.3132203870903,-1.07154018191047,NA,0.882864652544109,"Pre",0.516212132,NA,NA,NA,3100.53248379515,NA,NA,NA,NA,NA,NA,0,NA,NA
"91",1953,"Chum","RANSOM RIVER","CM",25,"Southwest Vancouver Island",15000,"NONE",9.61580548008435,1.10962195203811,NA,1.28121850502237,"Pre",0.516212132,NA,NA,NA,31005.3248379515,NA,NA,NA,NA,NA,NA,0,NA,NA
"92",1953,"Chum","SUCWOA RIVER","CM",25,"Southwest Vancouver Island",1500,"HIGH",7.3132203870903,-0.710577586557477,NA,0.896713703913888,"Pre",0.516212132,NA,NA,NA,3100.53248379515,NA,NA,NA,NA,NA,NA,0,NA,NA
"93",1953,"Chum","TAHSIS RIVER","CM",25,"Southwest Vancouver Island",15000,"NONE",9.61580548008435,0.905994983509781,NA,1.0825035870554,"Pre",0.516212132,NA,NA,NA,31005.3248379515,NA,NA,NA,NA,NA,NA,0,NA,NA
"94",1953,"Chum","TLUPANA RIVER","CM",25,"Southwest Vancouver Island",1750,"HIGH",7.46737106691756,-0.280358539634029,NA,0.944341782372545,"Pre",0.516212132,NA,NA,NA,3617.28789776101,NA,NA,NA,NA,NA,NA,0,NA,NA
"95",1953,"Chum","TSOWWIN RIVER","CM",25,"Southwest Vancouver Island",3500,"NONE",8.1605182474775,-0.257725194731055,NA,0.962377870981609,"Pre",0.516212132,NA,NA,NA,7234.57579552202,NA,NA,NA,NA,NA,NA,0,NA,NA
"96",1953,"Chum","ZEBALLOS RIVER","CM",25,"Southwest Vancouver Island",7500,"HIGH",8.9226582995244,0.372549957019833,NA,1.03172669525835,"Pre",0.516212132,NA,NA,NA,15502.6624189757,NA,NA,NA,NA,NA,NA,0,NA,NA
"97",1954,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2500,"NONE",7.82404601085629,1.11946616461342,NA,1.28059226329884,"Pre",0.546282272,NA,NA,NA,5510.03376266576,NA,NA,NA,NA,NA,NA,0,NA,NA
"98",1954,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",7500,"NONE",8.9226582995244,0.602216589765116,NA,1.0713397070904,"Pre",0.546282272,NA,NA,NA,16530.1012879973,NA,NA,NA,NA,NA,NA,0,NA,NA
"99",1954,"Chum","CANTON CREEK","CM",25,"Southwest Vancouver Island",4500,"HIGH",8.41183267575841,0.514949509780543,NA,1.08583119197418,"Pre",0.546282272,NA,NA,NA,9918.06077279837,NA,NA,NA,NA,NA,NA,0,NA,NA
"100",1954,"Chum","CHUM CREEK","CM",25,"Southwest Vancouver Island",7500,"NONE",8.9226582995244,1.23295134591177,NA,1.20176568705855,"Pre",0.546282272,NA,NA,NA,16530.1012879973,NA,NA,NA,NA,NA,NA,0,NA,NA
"101",1954,"Chum","CONUMA RIVER","CM",25,"Southwest Vancouver Island",5000,"HIGH",8.51719319141624,-0.733206318840045,NA,0.915933410144356,"Pre",0.546282272,NA,NA,NA,11020.0675253315,NA,NA,NA,NA,NA,NA,0,NA,NA
"102",1954,"Chum","DESERTED CREEK","CM",25,"Southwest Vancouver Island",1000,"LOW",6.90775527898214,-1.37736257539326,NA,0.814491052662248,"Pre",0.546282272,NA,NA,NA,2204.0135050663,NA,NA,NA,NA,NA,NA,0,NA,NA
"103",1954,"Chum","ESPINOSA CREEK","CM",25,"Southwest Vancouver Island",1000,"NONE",6.90775527898214,-0.580048602712384,NA,0.912810213398229,"Pre",0.546282272,NA,NA,NA,2204.0135050663,NA,NA,NA,NA,NA,NA,0,NA,NA
"104",1954,"Chum","HAMMOND CREEK","CM",25,"Southwest Vancouver Island",4000,"NONE",8.29404964010203,1.42807560755385,NA,1.34145774947902,"Pre",0.546282272,NA,NA,NA,8816.05402026522,NA,NA,NA,NA,NA,NA,0,NA,NA
"105",1954,"Chum","HOISS CREEK","CM",25,"Southwest Vancouver Island",900,"NONE",6.80239476332431,0.263000770129919,NA,1.04591410512039,"Pre",0.546282272,NA,NA,NA,1983.61215455967,NA,NA,NA,NA,NA,NA,0,NA,NA
"106",1954,"Chum","KLEEPTEE CREEK","CM",25,"Southwest Vancouver Island",1000,"NONE",6.90775527898214,-0.390054787415451,NA,0.943669780987065,"Pre",0.546282272,NA,NA,NA,2204.0135050663,NA,NA,NA,NA,NA,NA,0,NA,NA
"107",1954,"Chum","LEINER RIVER","CM",25,"Southwest Vancouver Island",4500,"NONE",8.41183267575841,0.116487690470298,NA,1.01194957274508,"Pre",0.546282272,NA,NA,NA,9918.06077279837,NA,NA,NA,NA,NA,NA,0,NA,NA
"108",1954,"Chum","LITTLE ZEBALLOS RIVER","CM",25,"Southwest Vancouver Island",1000,"NONE",6.90775527898214,-0.182990208927758,NA,0.965969149941239,"Pre",0.546282272,NA,NA,NA,2204.0135050663,NA,NA,NA,NA,NA,NA,0,NA,NA
"109",1954,"Chum","LORD CREEK","CM",25,"Southwest Vancouver Island",1000,"NONE",6.90775527898214,0.804113969364326,NA,1.19061401228613,"Pre",0.546282272,NA,NA,NA,2204.0135050663,NA,NA,NA,NA,NA,NA,0,NA,NA
"110",1954,"Chum","MAMAT CREEK","CM",25,"Southwest Vancouver Island",1500,"NONE",7.3132203870903,0.70084504589172,NA,1.15182724901925,"Pre",0.546282272,NA,NA,NA,3306.02025759946,NA,NA,NA,NA,NA,NA,0,NA,NA
"111",1954,"Chum","MARVINAS BAY CREEK","CM",25,"Southwest Vancouver Island",2000,"NONE",7.60090245954208,1.29504295115973,NA,1.35897027655728,"Pre",0.546282272,NA,NA,NA,4408.02701013261,NA,NA,NA,NA,NA,NA,0,NA,NA
"112",1954,"Chum","MOOYAH RIVER","CM",25,"Southwest Vancouver Island",3000,"NONE",8.00636756765025,0.947913830891336,NA,1.24056294984643,"Pre",0.546282272,NA,NA,NA,6612.04051519891,NA,NA,NA,NA,NA,NA,0,NA,NA
"113",1954,"Chum","OWOSSITSA CREEK","CM",25,"Southwest Vancouver Island",2000,"NONE",7.60090245954208,0.595901592070071,NA,1.13192657847866,"Pre",0.546282272,NA,NA,NA,4408.02701013261,NA,NA,NA,NA,NA,NA,0,NA,NA
"114",1954,"Chum","PARK RIVER","CM",25,"Southwest Vancouver Island",5000,"NONE",8.51719319141624,0.258064807851609,NA,1.02821033820677,"Pre",0.546282272,NA,NA,NA,11020.0675253315,NA,NA,NA,NA,NA,NA,0,NA,NA
"115",1954,"Chum","RANSOM RIVER","CM",25,"Southwest Vancouver Island",1500,"NONE",7.3132203870903,-0.100932604775697,NA,0.974420011995166,"Pre",0.546282272,NA,NA,NA,3306.02025759946,NA,NA,NA,NA,NA,NA,0,NA,NA
"116",1954,"Chum","SUCWOA RIVER","CM",25,"Southwest Vancouver Island",1000,"HIGH",6.90775527898214,-1.05261013316596,NA,0.846997423034217,"Pre",0.546282272,NA,NA,NA,2204.0135050663,NA,NA,NA,NA,NA,NA,0,NA,NA
"117",1954,"Chum","TAHSIS RIVER","CM",25,"Southwest Vancouver Island",7500,"NONE",8.9226582995244,0.049110856845931,NA,1.00447223431355,"Pre",0.546282272,NA,NA,NA,16530.1012879973,NA,NA,NA,NA,NA,NA,0,NA,NA
"118",1954,"Chum","TLUPANA RIVER","CM",25,"Southwest Vancouver Island",600,"HIGH",6.39692965521615,-0.962239979232887,NA,0.808971175824025,"Pre",0.546282272,NA,NA,NA,1322.40810303978,NA,NA,NA,NA,NA,NA,0,NA,NA
"119",1954,"Chum","TSOWWIN RIVER","CM",25,"Southwest Vancouver Island",5000,"NONE",8.51719319141624,0.0304217358131521,NA,1.00444089477135,"Pre",0.546282272,NA,NA,NA,11020.0675253315,NA,NA,NA,NA,NA,NA,0,NA,NA
