"","V1","SPECIES_NAME","REL_CU_NAME","REL_CU_INDEX","STOCK_NAME","RELEASE_SITE_NAME","FACILITY_NAME","RELEASE_STAGE_NAME","RELEASE_YEAR","releases","n","site-stock","grp"
"99",99,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",2017,424032,1,"Conuma R:Conuma R",15
"100",100,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",2018,471129,1,"Conuma R:Conuma R",15
"101",101,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",2019,563431,1,"Conuma R:Conuma R",15
"102",102,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",2020,491912,1,"Conuma R:Conuma R",15
"103",103,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Conuma R","Conuma River H","Unfed",1999,300000,1,"Conuma R:Sucwoa R",16
"104",104,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",1984,6114000,2,"Deserted R/NWVI:Deserted R/NWVI",17
"105",105,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",1988,3054578,1,"Deserted R/NWVI:Deserted R/NWVI",18
"106",106,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",1990,4018084,1,"Deserted R/NWVI:Deserted R/NWVI",19
"107",107,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",1991,1365048,1,"Deserted R/NWVI:Deserted R/NWVI",19
"108",108,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",1992,3043149,1,"Deserted R/NWVI:Deserted R/NWVI",19
"109",109,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",1993,3128365,1,"Deserted R/NWVI:Deserted R/NWVI",19
"110",110,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",1994,770056,1,"Deserted R/NWVI:Deserted R/NWVI",19
"111",111,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",1995,1695163,1,"Deserted R/NWVI:Deserted R/NWVI",19
"112",112,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",1996,322586,1,"Deserted R/NWVI:Deserted R/NWVI",19
"113",113,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",1997,37225,1,"Deserted R/NWVI:Deserted R/NWVI",19
"114",114,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",1998,94689,1,"Deserted R/NWVI:Deserted R/NWVI",19
"115",115,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",1999,2058209,1,"Deserted R/NWVI:Deserted R/NWVI",19
"116",116,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",2000,1822476,1,"Deserted R/NWVI:Deserted R/NWVI",19
"117",117,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",2001,269284,1,"Deserted R/NWVI:Deserted R/NWVI",19
"118",118,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",2002,272395,1,"Deserted R/NWVI:Deserted R/NWVI",19
"119",119,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",2003,341635,1,"Deserted R/NWVI:Deserted R/NWVI",19
"120",120,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",2004,798330,1,"Deserted R/NWVI:Deserted R/NWVI",19
"121",121,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Moutcha Bay","Moutcha Bay Seapen","Seapen",1999,3686051,1,"Moutcha Bay:Conuma R",20
"122",122,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Moutcha Bay","Moutcha Bay Seapen","Seapen",2000,1369785,1,"Moutcha Bay:Conuma R",20
"123",123,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Moutcha Bay","Moutcha Bay Seapen","Seapen",2001,1296654,1,"Moutcha Bay:Conuma R",20
"124",124,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Moutcha Bay","Moutcha Bay Seapen","Seapen",2002,1649290,1,"Moutcha Bay:Conuma R",20
"125",125,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Sucwoa R","Conuma River H","Fed Fry",2015,436800,1,"Sucwoa R:Conuma R",21
"126",126,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Sucwoa R","Conuma River H","Fed Fry",2018,213343,1,"Sucwoa R:Conuma R",22
"127",127,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Sucwoa R","Conuma River H","Fed Fry",2019,610249,1,"Sucwoa R:Conuma R",22
"128",128,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Sucwoa R","Conuma River H","Fed Fry",2020,497567,1,"Sucwoa R:Conuma R",22
"129",129,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1979,37800,1,"Sucwoa R:Sucwoa R",23
"130",130,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1980,648552,2,"Sucwoa R:Sucwoa R",23
"131",131,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1981,2874241,2,"Sucwoa R:Sucwoa R",23
"132",132,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1982,4067500,4,"Sucwoa R:Sucwoa R",23
"133",133,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1983,4780000,3,"Sucwoa R:Sucwoa R",23
"134",134,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1984,4481000,2,"Sucwoa R:Sucwoa R",23
"135",135,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1985,4973000,2,"Sucwoa R:Sucwoa R",23
"136",136,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1986,3605922,1,"Sucwoa R:Sucwoa R",23
"137",137,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1987,3876863,1,"Sucwoa R:Sucwoa R",23
"138",138,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1988,650013,1,"Sucwoa R:Sucwoa R",23
"139",139,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1989,506299,1,"Sucwoa R:Sucwoa R",23
"140",140,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1990,324420,1,"Sucwoa R:Sucwoa R",23
"141",141,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1991,2502516,1,"Sucwoa R:Sucwoa R",23
"142",142,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1992,2698158,1,"Sucwoa R:Sucwoa R",23
"143",143,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1993,1685669,1,"Sucwoa R:Sucwoa R",23
"144",144,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1994,1884011,1,"Sucwoa R:Sucwoa R",23
"145",145,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1995,3114509,1,"Sucwoa R:Sucwoa R",23
"146",146,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1996,914432,1,"Sucwoa R:Sucwoa R",23
"147",147,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1997,1411184,1,"Sucwoa R:Sucwoa R",23
"148",148,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1998,2076083,1,"Sucwoa R:Sucwoa R",23
"149",149,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",1999,1998626,1,"Sucwoa R:Sucwoa R",23
"150",150,"Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Sucwoa R","Conuma River H","Fed Fry",2000,1883722,1,"Sucwoa R:Sucwoa R",23
